RESTAURANTID,INSTALL_TYPE,BOOKED_TO_WORKABLE_DAYS
4d535eb0-6832-49f6-9c63-71af3cbd8dbb,Self Service,1
69e58bc4-635b-424f-a47b-30c3e345100a,Self Service,91
61bdb94e-b25d-429e-89ee-cf37f8442424,Self Service,6
84dd89d9-9de8-4f72-90e6-694f7838002f,Self Service,1
666f418c-0cc8-4707-bb81-557318616a6b,Self Service,1
a7a4b9c5-7423-4542-acf2-bd975d1b69b3,Self Service,0
9109f6b0-2f9b-4f5d-801e-7d38b21868fe,Self Service,57
08eec746-e4b1-4e99-9fd6-23a6d781f26b,Self Service,5
89147710-499b-416d-804c-1d0c1440bcdc,Self Service,27
b33630d1-a045-4d93-9949-685a71edd41c,Self Service,10
b9d3996f-f154-44d9-98f4-e6e423b18b5c,Self Service,12
02d4ec6f-5cc7-4139-ab08-f108ecfdf182,Self Service,1
8b37d591-0ac3-4b37-8495-2847386c54c8,Self Service,8
6dc8a988-026f-4ffc-8708-3e4a5f0f7f89,Self Service,15
30556152-1fc4-4189-9785-4ae34bdf07a7,Self Service,39
106d0945-b694-469a-9374-84e8b77d417f,Self Service,1
e88a190e-78fc-4df7-9cfe-2861cf2bb4af,Self Service,42
cc94c974-cb91-4bc9-84e9-caaea314b395,Self Service,11
d5fff6bb-f834-427f-bb61-0f5db35d083c,Self Service,120
45b9bc11-cdbe-4bcb-b221-b1d5877cd6b3,Self Service,5
0b9bfcaf-9200-4ff0-ad63-c81e9601c98f,Self Service,5
5e4a8236-9a41-412a-aa86-e0894dd3472d,Self Service,13
87dd772e-2548-4379-b9b1-a81f60df1be8,Self Service,6
df82e79e-5cc6-496d-9f5e-b0314487bed8,Self Service,25
21d1aae7-8066-444f-ad45-88022c46f7ff,Self Service,7
a7ef4144-af64-434f-84d1-0e984585f6a4,Self Service,24
6361c3cd-5ff4-4ab6-badb-de9707c938a4,Self Service,1
545eb881-490a-4419-aaf8-f6e522c41f46,Self Service,28
4c2ff1e1-ead5-4d09-a3e6-029c805e94ab,Self Service,161
c6d56b77-f248-4e07-a9bc-ae2f364dba69,Self Service,2
85a83fa4-504e-4001-8cec-c0e5a8c9d350,Self Service,31
1aa1edce-59c5-4010-b875-85bf706a2d49,Self Service,2
19472dc5-0061-4ff5-b215-5fc094337b7f,Self Service,24
540658ba-98e9-444d-9789-50bde50ffbd9,Self Service,9
3d2cc9a5-14fc-48d5-8cfe-acebbefa8816,Self Service,16
f5e06a26-6c45-4d3c-8a4c-422b968e7841,Self Service,36
9a0db45d-32fc-4399-aa1d-4766ade430fb,Self Service,14
7c82b0b6-ab93-47c0-892b-4ec1253b0784,Self Service,9
4f52069a-d9ba-4d84-830e-e2022bc8fd5e,Self Service,38
b73c407a-65cc-4ba8-8719-8bd495744365,Self Service,7
21d9d762-c747-4ffa-bae3-bd4636859384,Self Service,20
3886f222-0a33-4939-9669-8072439169b5,Self Service,12
ec686a28-7014-4367-b2f1-da81da141c3c,Self Service,0
d9d7b9b7-7727-4797-8c8b-34bf2aae523b,Self Service,47
db88066f-389f-482b-871f-e08526cca0fb,Remote,42
145565ac-ef90-4e55-b1df-f17463d42fd9,Self Service,5
32eda4a0-a0be-4049-badc-ca76e8613e6e,Self Service,7
5b98ef2b-232a-495b-81c9-9294d441fec1,Self Service,8
7a882027-61d9-40fe-a805-ed52eeccf035,Self Service,15
1612852e-ca02-4cb5-8cd8-45329f559bb8,Self Service,21
09954ca6-233f-4489-9bb2-5373bb5d3898,Self Service,9
c6c75c31-d59a-4f45-9ddb-6349a12c8520,Self Service,50
48be3bb4-a8d0-42c6-8622-0bf848e0bd15,Remote,14
689987f6-6462-42c6-bdf5-811c21e69a6c,Self Service,11
19c31ee5-be18-4d30-a435-37afe0fedc49,Self Service,3
3f3796b3-6ff3-4995-a47c-828429cbe878,Self Service,8
82f2028d-91f5-4757-8b51-ab134b593ddf,Remote,16
abb71a83-5dcd-4612-8873-18c27d2dcef7,Remote,11
b73c3b0f-d0fd-44f8-b092-90328258adeb,Self Service,3
107e2894-ed68-4172-b53a-5c49e3bc1ecf,Self Service,8
36df7d26-bbf0-4226-b700-d3d07c9cadac,Self Service,15
527927b8-8837-4833-a5a9-c607e7663d97,Remote,14
2939f0d3-8116-4667-a1fd-531bd59cd0f9,Self Service,7
66d7cf13-38a3-47f6-95b7-176f7bb65994,Self Service,4
5a90c81d-e1ae-498c-bb49-cbbcc13d6576,Self Service,55
e0a5fd91-880d-4464-bda4-0b65c64dc810,Self Service,5
0d5c8772-2a69-4a71-bba5-28e19b48c809,Self Service,19
62ed4878-f06d-439c-ade2-45380ac4577f,Self Service,64
f2f399ec-8f03-44a7-a981-bc24ffd01665,Self Service,7
871a5f3a-e008-425a-890e-5af3ff060e63,Self Service,75
0b4c51f5-565a-429b-ad9b-48cbee66eff1,Self Service,20
eba40f88-46b3-4e69-a8d1-9b79268f7b4a,Self Service,64
8093803c-aeeb-4a36-9f81-03396a8a0902,Self Service,82
949f9794-a61c-4d4e-8ed2-8e11729b63cf,Self Service,28
a0e76cb6-d04b-41ef-b6f6-cb0cb692180c,Self Service,31
a7388625-6389-45e2-8f5a-98de14903062,Self Service,5
64eb20a2-f9b6-4a5f-91a8-986440837535,Self Service,10
7e2650d5-8511-4854-b084-e61375fe161d,Self Service,26
603e9c2f-e78f-49df-978c-1629cfa53cfd,Self Service,3
8eef6b01-1974-4b9a-9845-ab89e7d25e6e,Self Service,3
7e0fec0b-f6d6-468a-be57-86674100372a,Self Service,46
6c9f8843-1c93-4a79-9d7c-f1002e17ae09,Self Service,28
38a329d1-d59e-4f72-b321-b81e5c53185f,Self Service,8
901fcd79-960a-4531-be0f-3b21962b9244,Self Service,29
06d69f97-636d-4c6a-8863-431a85583e64,Self Service,5
d7f1d299-67b6-46ae-890c-678a25b780e4,Self Service,11
f547717d-c963-4cd8-8ffb-65d0f65614a5,Self Service,27
13d887ac-3813-49ce-be95-5ae37873b1ce,Self Service,33
4e2745ef-539a-408e-b68c-72ca5dc25662,Self Service,4
8c751dd7-77d9-4bd8-a80b-0317e70c87dd,Self Service,11
b9bdc589-6d6d-4684-8cc5-cd825b70e6a5,Self Service,8
842c6daa-e79b-4f90-a0d9-67bff3681d20,Self Service,1
e3acb31b-72ed-4a13-9dff-5dd2f191c34f,Self Service,7
263446a8-9ca1-4d8d-aa06-2c707f0017b3,Self Service,42
4b297384-2249-4d61-95f9-411fbeb4f1a7,Remote,21
af925819-8bd4-4963-8de4-5ce2f8070b24,Self Service,16
21a553fa-4bcf-4431-80d0-ac45a6591ba5,Remote,2
d7a67734-cc4d-4b37-a3a5-7f180311d98f,Self Service,14
fc1a71f5-d858-4e81-b35b-3e63ea005ff2,Self Service,4
d8382886-60b3-47a4-9600-6498ba00d9d0,Self Service,7
668edf81-529e-439a-9c00-65878f78fe94,Self Service,20
7ef06bca-8476-48a5-8ad6-7b60eb64511c,Remote,11
3ff5c12d-c064-4ef7-8919-9e8aa44c46f0,Self Service,7
86e4000e-bc1f-4f33-8073-c0566140efc8,Self Service,1
89ae2eed-0945-4b5b-a4e1-b4e17c8030d4,Self Service,3
b6327449-b3d3-4632-90aa-29740ee31ed6,Self Service,8
8c68d2ed-6bcf-470e-8735-dc06a8ce8ad0,Self Service,15
872f81e5-5b7e-4394-8c0a-3707e61baef7,Self Service,6
c0212b07-4fc9-4249-a8cb-9e3d084b9e77,Self Service,6
f59a4432-c39e-48cc-9d53-c3f53c682548,Self Service,16
3b0531cf-acfd-4013-8331-f7d6de2e34b9,Self Service,37
8a4ecad7-ba18-4647-8b27-f3b750522866,Self Service,0
bcd29b2a-f217-4a77-9ab7-80a0f2c72da1,Self Service,36
e9aaa4f1-8db8-4206-89c6-53e60cfc03da,Self Service,8
829c5f93-dbab-4348-9ff8-8d670db8de85,Self Service,3
0080e177-a28a-4bb2-a693-28aedc6add79,Self Service,3
19ae9a08-e20c-4759-84bd-9d11f2be5e1b,Self Service,19
2ff50fb5-dfaa-4c95-a5ab-52b8e702288f,Self Service,27
cdac0d48-2fa8-484b-85e4-3cc946838546,Self Service,2
70e6fc91-6d7c-4796-9855-c26e2a78a9d5,Self Service,4
eb01e2a9-7cf6-425a-80f4-13e98069fb00,Self Service,1
77bce0e1-42ba-4e40-bfd0-523336714806,Self Service,10
7bb34253-f4bb-493c-8633-dee10cabfc77,Self Service,3
81b61119-cfed-49b0-b3e8-bed71fee0397,Self Service,38
4ba083ec-8770-4dcf-8ca4-514722bd0c14,Self Service,22
c2137c8b-03fb-4051-b45d-414d011a01a4,Self Service,1
54381d45-977e-40a0-a914-7c9600234271,Self Service,7
adef2b01-a787-4b06-a5be-688b4e3d0d01,Remote,2
3676e961-a6eb-4bae-a498-beba88b7e29f,Self Service,5
a7e51142-5736-47d2-9f0c-3063b39786bb,Self Service,106
894f083b-be56-4019-8d8e-028caa4f8a97,Self Service,34
5725561b-a182-454b-ac5a-e81a013e13f7,Self Service,22
d3b5e4a1-0ec5-4830-8b97-1acce562c946,Self Service,11
1a7cf5b0-3b51-45a4-b5ea-deec0cdbcddf,Self Service,5
f04c32b2-4184-436a-ae7e-dc7fa3444a3a,Self Service,75
32d17f4a-97aa-4f60-815e-852c01983a7a,Self Service,17
b9009a98-8d80-4f0e-bfea-f5ce6c35dfe0,Remote,40
bff8d92e-71d0-4c32-940b-1427d5e09423,Self Service,16
15474971-2e21-431a-aea3-71e5d19a1fee,Self Service,0
6fdbc954-0b43-42eb-b295-44c475b9ceb0,Self Service,7
5f8fb3b3-9a2e-4758-8e65-1e1998de94b0,Self Service,6
8a0f6da8-1adb-401e-bc2e-110160d2adf3,Self Service,2
12702b21-1f85-4b55-9d8c-6a41b2ff34ff,Self Service,14
5a56217d-e148-4bf9-bcce-367c5c97e173,Self Service,6
5a0b7e3e-a762-4949-b59a-2929eef2f866,Self Service,10
61b87497-5c1a-40c2-bf9c-1adaf08e4a25,Self Service,9
f483bd8b-98b0-45ef-86b1-328b44e257ec,Self Service,68
44840998-6322-4b39-99af-6421ae82b6e5,Remote,6
9ed771d1-32b0-4c81-b59c-a077b453c59c,Self Service,2
beacda60-07ac-407d-99f0-3e194e66f9d2,Self Service,67
e7305af7-54d3-425c-a3ba-41f18f5b90b5,Self Service,1
869f678d-5ead-42aa-87d1-ee1186e90ae5,Remote,10
d5b07afc-87da-408b-b635-c1806e90bcbe,Self Service,25
06897b46-6f48-4673-bade-b5bc57a05d63,Self Service,19
98633b23-6cc1-4de6-ae5f-2c1e602f7e38,Self Service,6
0b920f37-4dde-4c7c-84a2-eb9b4dc7e86c,Self Service,10
18baf5e9-752e-4d06-ac80-837a0b1004ce,Self Service,1
4cd08430-fa91-44c9-92d2-836f160e7f85,Self Service,3
7600babf-e22f-4808-9b41-7f896ee4f883,Self Service,7
b5746b68-3752-414e-b403-751cf9319edb,Self Service,1
874c2bd4-4ca9-454d-be45-c53854061c4e,Self Service,7
e2447a1d-19ab-470f-9640-13ce2660331b,Self Service,10
e4d647e5-9be8-4018-8336-ce594adc2f30,Self Service,17
535dd196-5083-4f96-872b-a770e8513a71,Self Service,42
eade87ca-2234-46dc-a078-9178ceff1a9e,Self Service,5
58fa4cd7-f4f2-43e4-ad7d-a31ee5838192,Self Service,8
ce8ea6da-8b62-4fd1-ae17-b2bd70c86b62,Self Service,2
94b2e3cf-bdc4-4983-8b47-f35ef021ba60,Self Service,6
c7efd0a5-4221-46ba-b352-3c50f276f337,Self Service,37
d116eaf6-f617-4d52-af7f-6e9ec9a9dba1,Remote,42
875682f0-4bf0-47f2-b23d-41af88d61131,Self Service,8
005372bd-0332-4b65-94f4-d523a4ce5a85,Self Service,8
9e7a67cb-31eb-449c-84e5-9fafbd6b6f55,Self Service,27
140c14bd-4622-4961-855d-815f958a4cc8,Self Service,12
9ebcf279-1a24-465b-a252-e041d2c7e1ba,Self Service,13
70317b3a-d251-4ab0-b8a0-1db36171b815,Self Service,2
17f25ac6-b65e-4c11-b880-926a68477f8c,Self Service,35
d21f9c4d-fbbb-4e07-b9b8-7657db257c81,Self Service,28
1ddaea10-12e5-405d-88df-4eb545f6adbe,Self Service,6
e07e2ee4-3acc-4097-ad68-adb24400da8e,Self Service,20
e9bbdc1b-1312-4904-8793-7f4121fd9bf0,Self Service,5
ff3dff9e-e6db-4b76-9d5e-764bd2d06028,Self Service,12
12d21acf-3221-4ee6-8622-8594a3bca9e0,Remote,2
ef150fa8-3bcb-4e73-ba22-5460504c8e8d,Self Service,46
afa8553d-9dc9-4992-bd41-146ed4efc23d,Self Service,4
4cf4c1fc-647f-4570-ab47-e6f431ddfa36,Self Service,29
2e204428-6769-4c75-94ce-e35acc51bee8,Self Service,8
c3c9ef5d-4571-4f68-8387-8d089769ab52,Self Service,2
c3047345-70b7-4887-9f56-f577840b2482,Self Service,8
c043ce1b-9c4f-4b49-bdc5-f194671a6a71,Self Service,2
1def772d-c220-4a9e-8633-754d7a1119a9,Self Service,18
70111371-e4a9-4e9b-908d-e92d1059dc4b,Self Service,45
ba8a2fdd-f4a9-4878-80d9-4d451f234fd7,Remote,24
10acab0c-aeb6-499f-bc2e-798626e1db8e,Self Service,10
4a37fcab-0360-46fe-bb47-865f445e87a9,Self Service,7
f15d3f7a-1dbe-489f-8a54-05e01db629c4,Self Service,2
e2fd96f4-242a-42fb-84fc-20ef72a14840,Remote,37
