Customer Account Name,Opportunities Opportunity Created Date,Accounts Salesforce Account ID,Customer Account Toast Guid,Opportunities Total Software ARR,Opportunity Line Item Hardware Value,Passed Auto GIACT,Failed Auto GIACT,Banking Status,Banking Task Statuses,Go Live Status
Laksa Shop,2023-04-04,0014W00003CNWuqQAH,2370659a-df56-40b3-8b21-e5da0cf669dd,$0,$0.00,True,,Completed,COMPLETED,COMPLETED
Trap Shacc,2023-04-04,0014W000037XZfWQAW,3091b9d3-6cd9-4107-b813-90f9eb3ec8b8,$0,$0.00,,True,Completed,COMPLETED,NEW
L&G Catering LLC DBA Shannon Sweet Stop,2023-04-04,0014W00003CNWBAQA5,4e663fce-efdf-4e23-8461-84b5eb17ebd4,$0,$0.00,True,,Completed,COMPLETED,NEW
Sgt P's Ice Cream and Sweet Treats,2023-04-03,0014W00003CNUiDQAX,236ee25a-1a2e-4ab3-a748-485686e72a24,$0,$0.00,,,Not started,NEW,NEW
OK Charley’s,2023-04-03,0014W00003CNV1eQAH,de51f79f-fdc0-483f-93f3-35ef2c7abd47,$0,$0.00,True,,Completed,COMPLETED,NEW
TBD Pizza LLC,2023-04-03,0014W00003CNURbQAP,94149ff8-109b-42fb-83ba-85a4d0be2c3b,$0,$0.00,,,Completed,COMPLETED,NEW
House's Rockin' BBQ,2023-04-03,0014W00003CNUgbQAH,e9a11e3d-a242-4b58-bf40-b5dc157932cc,$0,$119.40,,,Not started,NEW,NEW
Lora Sport bar,2023-04-03,0014W00003CNVCXQA5,6ad663e4-00ac-4b00-bc34-4f34c8c5bccf,$0,$254.40,,,Completed,COMPLETED,NEW
Food Trick Snob,2023-04-03,0014W00003CNVTOQA5,7c829562-e88d-49ae-8301-c9b95cc7b992,"$1,200",$0.00,,,Not started,NEW,NEW
Worlds End Coffee Company,2023-04-03,0014W00003CNUKGQA5,2f1a9f33-f475-4b0f-a874-c7574e66b089,$0,$318.00,,,Completed,COMPLETED,NEW
66 Blaque,2023-04-03,0014W00003CNV1yQAH,7d5e68c3-0484-4793-861a-238a2ac20519,$0,$0.00,,,Not started,NEW,NEW
Mon cheri,2023-04-03,0014W00003CNVGZQA5,535e75fc-201d-4043-a885-7d2d28f8c746,$0,$789.00,True,,Completed,COMPLETED,NEW
Daniela Arcia,2023-04-03,0014W00003CNV1KQAX,97affb5d-d1c0-4ac6-ab93-014d48dfaaa6,$0,$0.00,True,,Completed,COMPLETED,NEW
